Signal,Pin,,Pin,Signal
SD_DAT0/SPI1_DOUT,Pin 1,,Pin 2,CSI0_C+
SD_DAT1,Pin 3,,Pin 4,CSI0_C-
SD_DAT2,Pin 5,,Pin 6,GND
SD_DAT3/SPI1_CS,Pin 7,,Pin 8,CSI0_D0+
SD_SCLK/SPI1_SCLK,Pin 9,,Pin 10,CSI0_D0-
SD_CMD/SPI1_DIN,Pin 11,,Pin 12,GND
GND,Pin 13,,Pin 14,CSI0_D1+
CLK0/CSI0_MCLK,Pin 15,,Pin 16,CSI0_D1-
CLK1/CSI1_MCLK,Pin 17,,Pin 18,GND
GND,Pin 19,,Pin 20,CSI0_D2+
DSI_CLK+,Pin 21,,Pin 22,CSI0_D2-
DSI_CLK-,Pin 23,,Pin 24,GND
GND,Pin 25,,Pin 26,CSI0_D3+
DSI_D0+,Pin 27,,Pin 28,CSI0_D3-
DSI_D0-,Pin 29,,Pin 30,GND
GND,Pin 31,,Pin 32,I2C2_SCL
DSI_D1+,Pin 33,,Pin 34,I2C2_SDA
DSI_D1-,Pin 35,,Pin 36,I2C3_SCL
GND,Pin 37,,Pin 38,I2C3_SDA
DSI_D2+,Pin 39,,Pin 40,GND
DSI_D2-,Pin 41,,Pin 42,CSI1_D0+
GND,Pin 43,,Pin 44,CSI1_D0-
DSI_D3+,Pin 45,,Pin 46,GND
DSI_D3-,Pin 47,,Pin 48,CSI1_D1+
GND,Pin 49,,Pin 50,CSI1_D1-
USB_D+,Pin 51,,Pin 52,GND
USB_D-,Pin 53,,Pin 54,CSI1_C+
GND,Pin 55,,Pin 56,CSI1_C-
HSIC_STR,Pin 57,,Pin 58,GND
HSIC_DATA,Pin 59,,Pin 60,RESERVED
